,Description,Date,Age,Miles,eq_800m,Minutes,Seconds
17, Leicester,1987-09-06,16,5.0,2.625767643066391,2.0,37.0
101, Santa Claus Half,2007-07-07,35,13.112,2.6375897039094642,2.0,38.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,2.64233644602143,2.0,38.0
148, Golden Mile,2011-07-23,40,1.0,2.64233644602143,2.0,38.0
24, sileby,1988-09-11,17,9.0,2.6448602409720534,2.0,38.0
152, Valkyries,2012-07-14,40,5.37,2.645501552172133,2.0,38.0
172, AGU Run,2014-12-18,43,3.108,2.650894209945895,2.0,39.0
83, Crossdale 10k,2004-09-05,33,6.215,2.651273810931261,2.0,39.0
80, Desford 10k,2004-03-28,32,6.215,2.659832678460962,2.0,39.0
151, Flint Hills Mile,2012-06-28,40,1.0,2.6660558037056434,2.0,39.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,2.666550214282199,2.0,39.0
110, Fairbanks run for women,2008-06-01,36,5.0,2.679950149986808,2.0,40.0
169, Midnight Sun Run,2014-06-21,42,6.215,2.6868260299007884,2.0,41.0
125, Run Lu Lu Run,2009-08-15,38,6.837,2.6917259425927065,2.0,41.0
132, UAF campus afternoon run,2010-03-18,38,3.0,2.6924052963619247,2.0,41.0
67, 1st Salmon Run in Nenana,1999-07-04,27,3.108,2.6929052116883025,2.0,41.0
43, Mosquito Meander,1998-06-13,26,3.108,2.706908878935771,2.0,42.0
88, Holme Pierrepont,2005-07-28,34,6.215,2.7078940115123604,2.0,42.0
177, Midnight Sun Run,2016-06-18,44,6.215,2.7078940115123604,2.0,42.0
89, Wollaton Park,2005-07-30,34,3.108,2.7097096123852653,2.0,42.0
161, Midnight Sun Run,2013-06-22,41,6.215,2.710527509213807,2.0,42.0
143, Santa Claus Half,2010-08-07,39,13.112,2.7116091401087945,2.0,42.0
71, Santa Claus Half M,1999-07-10,27,13.112,2.7116091401087945,2.0,42.0
198, Jim Loftus Mile,2019-06-06,47,1.0,2.713494519074071,2.0,42.0
138, Midnight Sun Run,2010-06-19,38,6.215,2.717111253467423,2.0,43.0
150, Midnight Sun Run,2012-06-23,40,6.215,2.7184280023181464,2.0,43.0
52, Santa Claus Half M,1998-08-08,27,13.112,2.7186150949753976,2.0,43.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,2.7191282703754176,2.0,43.0
50, Grandmas over the hill,1998-07-23,27,9.0,2.7226502480594665,2.0,43.0
95, Beet Beethoven,2007-04-14,35,3.108,2.7279143798069754,2.0,43.0
38, Law Days Judicata,1998-04-25,26,6.215,2.743446230481888,2.0,44.0
124, Santa Claus Half,2009-08-08,38,13.112,2.745420487508488,2.0,44.0
159, Halloween Run,2012-10-27,41,10.0,2.7461002992976162,2.0,44.0
34, St Andrews Half,1991-05-15,19,13.112,2.7515126221751,2.0,45.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,2.7522475228753525,2.0,45.0
75, Gold Discovery Run,2000-07-23,29,16.3,2.756090353643859,2.0,45.0
207, St Pete Run Festival,2021-11-13,50,6.215,2.7684644586456293,2.0,46.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,2.770896561412629,2.0,46.0
57, Beat Beethoven,1999-04-03,27,3.108,2.77552684844837,2.0,46.0
166, Donate Life USF 5k,2014-04-06,42,3.108,2.7769272151731164,2.0,46.0
28, sileby,1989-09-10,18,9.0,2.7782145388361905,2.0,46.0
160, Beat Beethoven,2013-04-13,41,3.108,2.7811283153473574,2.0,46.0
146, Murphy Dome Roam,2011-05-15,39,11.0,2.7817688099368305,2.0,46.0
134, UAF campus run,2010-04-01,38,3.0,2.7826372576454057,2.0,46.0
175, Chena River Run,2016-05-07,44,3.108,2.783929048796851,2.0,47.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,2.7895305156958394,2.0,47.0
109, Spring Fling 5k,2008-04-05,36,3.108,2.7895305156958394,2.0,47.0
13, shepshed,1986-10-04,15,6.215,2.798091307786903,2.0,47.0
8, barrow,1985-06-01,13,4.0,2.8126083046802006,2.0,48.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,2.817842540547751,2.0,49.0
77, Cudjoehead - Salem Park,2001-03-01,29,4.0,2.817925144575627,2.0,49.0
54, Musk Ox Run,1998-08-27,27,11.5,2.818001931583659,2.0,49.0
16, thringstone,1987-08-01,16,3.85,2.8182871110575882,2.0,49.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,2.822451161525283,2.0,49.0
